#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2023-11-02T17:46:03.143932947Z,5.93,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T18:16:03.416666622Z,5.93,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T18:31:03.075950003Z,5.93,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T18:46:02.666973195Z,5.93,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T19:01:02.700482043Z,5.93,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T19:16:02.889134029Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T19:31:03.007312018Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T19:46:03.075640097Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T20:01:03.362664565Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T20:16:03.152443848Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T20:31:03.204614598Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T20:46:02.390077852Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T21:01:02.752573861Z,5.92,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T21:16:02.779221624Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T21:31:02.924431108Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T21:46:02.896445796Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T22:01:03.076118537Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T22:16:03.054768368Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T22:31:02.591582632Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T22:46:02.548364349Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T23:01:03.014421974Z,5.91,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T23:16:03.271762201Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T23:31:02.406373559Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-02T23:46:03.347235344Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,1,2023-11-02T17:46:03.143737319Z,2.37,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T18:16:03.41642181Z,1.63,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T18:31:03.075704907Z,1.28,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T18:46:02.666824242Z,0.61,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T19:01:02.7001608Z,0.61,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T19:16:02.888879159Z,-0.03,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T19:31:03.007044607Z,-0.03,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T19:46:03.075326064Z,-0.35,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T20:01:03.36245427Z,-0.65,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T20:16:03.152110562Z,-1.18,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T20:31:03.204141543Z,-1.18,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T20:46:02.389848137Z,-1.42,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T21:01:02.752283424Z,-1.64,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T21:16:02.778888165Z,-1.83,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T21:31:02.924090143Z,-2.01,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T21:46:02.896140687Z,-2.16,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T22:01:03.075895939Z,-2.29,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T22:16:03.05453215Z,-2.29,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T22:31:02.591224036Z,-2.29,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T22:46:02.548236847Z,-2.37,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T23:01:03.014123126Z,-2.37,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T23:16:03.271536515Z,-2.27,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T23:31:02.406259936Z,-2.27,personal/ucjtdjw/housemill/SilvertownTidal/height
,,1,2023-11-02T23:46:03.346938718Z,-2.12,personal/ucjtdjw/housemill/SilvertownTidal/height
,,2,2023-11-02T17:46:03.143919668Z,2.95,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T18:16:03.416655606Z,2.37,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T18:31:03.075935966Z,2.04,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T18:46:02.666944973Z,1.44,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T19:01:02.700463126Z,1.44,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T19:16:02.889108134Z,0.89,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T19:31:03.007289946Z,0.89,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T19:46:03.07561109Z,0.62,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T20:01:03.362644848Z,0.43,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T20:16:03.152407102Z,0.25,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T20:31:03.204602805Z,0.25,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T20:46:02.390064451Z,0.58,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T21:01:02.752544236Z,0.36,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T21:16:02.779209668Z,-0.78,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T21:31:02.92440623Z,-0.95,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T21:46:02.896411386Z,-1.15,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T22:01:03.076093504Z,-1.31,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T22:16:03.054742952Z,-1.31,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T22:31:02.59155256Z,-1.31,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T22:46:02.548354798Z,-1.46,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T23:01:03.014402146Z,-1.46,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T23:16:03.271738455Z,-1.8,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T23:31:02.406355185Z,-1.8,personal/ucjtdjw/housemill/TowerPierTidal/height
,,2,2023-11-02T23:46:03.347216336Z,-1.74,personal/ucjtdjw/housemill/TowerPierTidal/height
,,3,2023-11-02T17:40:13.391371905Z,2630,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T18:20:23.56311481Z,3175,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T18:30:12.858214884Z,3285,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T18:40:18.210299702Z,3380,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T18:50:13.505204554Z,3440,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:00:12.742508144Z,3510,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:10:18.182766669Z,3525,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:20:13.478084764Z,3540,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:30:12.770772143Z,3610,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:40:19.160653046Z,3625,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T19:50:13.452689317Z,3630,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:00:18.085997262Z,3655,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:10:13.433888983Z,3665,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:20:12.755290114Z,3640,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:30:18.506081339Z,3600,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:40:17.91039502Z,3670,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T20:50:13.256145368Z,3630,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:00:13.583457185Z,3650,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:10:13.173218648Z,3680,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:20:13.487475392Z,3660,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:30:12.817124222Z,3695,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:40:23.000487087Z,3680,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T21:50:18.425852659Z,3675,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:00:18.812330901Z,3695,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:10:13.150293175Z,3640,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:20:18.51332095Z,3660,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:30:12.805825827Z,3660,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:40:13.093575821Z,3660,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T22:50:13.807173317Z,3690,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:00:13.128312726Z,3655,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:10:18.438075552Z,3655,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:20:12.701358773Z,3695,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:30:12.985383969Z,3675,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:40:18.301450235Z,3675,personal/ucjtdjw/housemill/sonar/distance
,,3,2023-11-02T23:50:17.476617174Z,3725,personal/ucjtdjw/housemill/sonar/distance
,,0,2023-11-03T00:01:02.578474605Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T00:16:03.318525651Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T00:31:02.350446903Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T00:46:02.893375474Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T01:01:02.784892198Z,5.9,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T01:16:02.382850147Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T01:31:02.603101699Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T01:46:02.558507743Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T02:01:03.085782624Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T02:16:03.217497355Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T02:31:03.272496293Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T02:46:02.599330736Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T03:01:03.105406113Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T03:16:03.468282874Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T03:31:04.279926586Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T03:46:02.322469866Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T04:01:02.95050902Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T04:16:02.966933879Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T04:31:03.396695553Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T04:46:03.256871728Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T05:01:04.287098275Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T05:16:03.419437015Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T05:31:02.760648335Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T05:46:09.113390421Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T06:01:04.400811917Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T06:16:02.599209235Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T06:31:03.140778872Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T06:46:03.471545527Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T07:01:04.143247086Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T07:16:03.308972369Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T07:31:03.587164148Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T07:46:04.283290213Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T08:01:03.056019659Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T08:16:03.85305457Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T08:31:03.716726443Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T08:46:03.308676924Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T09:01:03.683545924Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T09:16:03.959103801Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T09:31:03.53502294Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T09:46:04.307339317Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T10:01:04.327936047Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T10:16:03.970438676Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T10:31:02.402383698Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T10:46:02.872185341Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T11:01:03.099015378Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T11:16:03.851807594Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T11:31:03.405437393Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T12:16:02.925612266Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T12:31:03.305920036Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T12:46:02.700917583Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T13:01:03.23275673Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T13:16:03.174597162Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T13:31:03.250182031Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T13:46:02.620442471Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T14:01:03.40317126Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T14:16:02.796213764Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T14:31:02.454401056Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T14:46:02.69232423Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T15:01:02.803957897Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T15:16:03.372009975Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T15:31:03.272075328Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T15:46:02.762230303Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T16:01:02.684616016Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T16:16:03.105885646Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T16:31:03.039925551Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T16:46:02.473247166Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-11-03T17:01:03.083196386Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
