#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2024-03-01T00:01:03.245080395Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T00:16:03.388141286Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T00:31:03.418929337Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T00:46:03.459285634Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T01:01:03.149018191Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T01:16:03.603781829Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T01:31:03.322883726Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T01:46:02.887216853Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T02:01:02.551375031Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T02:16:02.690951332Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T02:31:03.474030834Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T02:46:03.239796215Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T03:01:03.682165296Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T03:16:03.229476798Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T03:31:02.778490657Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T03:46:03.616355412Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T04:01:02.511602577Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T04:16:03.355810266Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T04:31:02.998222998Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T04:46:03.21266541Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T05:01:03.798611478Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T05:16:04.376638481Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T05:31:03.362645742Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T05:46:12.638881136Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T06:01:08.449732637Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T06:16:06.34902171Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T06:31:03.457196557Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T06:46:03.710975702Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T07:01:08.610396576Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T07:16:02.576869719Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T07:31:03.129408302Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T07:46:03.555822064Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T08:01:04.036322928Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T08:16:04.285694238Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T08:31:04.640343093Z,5.83,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T08:46:03.037933478Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T09:01:02.927741486Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T09:16:03.268841455Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T09:31:03.033925479Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T09:46:03.168453947Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T10:01:02.880459644Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T10:16:03.002955386Z,5.86,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T10:31:03.808907528Z,5.87,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T10:46:03.242412402Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T11:01:03.288089432Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T11:16:03.427155616Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T11:31:02.421875609Z,5.89,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T11:46:02.974757746Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2024-03-01T12:01:02.984505508Z,5.88,personal/ucjtdjw/housemill/LeaBridgeRiver/height
