#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2024-10-01T00:00:13.354058198Z,1755,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T00:10:13.758321508Z,1660,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T00:20:13.085482332Z,1620,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T00:30:13.439549023Z,1585,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T00:40:12.76864347Z,1545,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T00:50:13.135434616Z,1560,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:00:13.491867331Z,1635,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:10:12.765188493Z,1750,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:20:13.139880734Z,1865,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:30:13.353961153Z,2035,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:40:12.977996625Z,2115,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T01:50:13.331683597Z,2240,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:00:12.733067516Z,2405,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:10:13.099513283Z,2670,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:20:13.462786834Z,2890,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:30:12.812794575Z,3090,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:40:13.159120458Z,3285,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T02:50:13.510530871Z,3480,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:00:13.091581578Z,2485,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:10:13.467464016Z,2350,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:20:12.873167934Z,2220,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:30:13.503043355Z,2045,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:40:12.795328794Z,1900,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T11:50:13.122073025Z,1775,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:00:13.433164231Z,1670,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:10:12.823342395Z,1535,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:20:13.159508156Z,1430,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:30:13.497900368Z,1350,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:40:12.866269263Z,1315,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T12:50:13.238695655Z,1320,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:00:12.561465562Z,1370,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:10:13.109501579Z,1420,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:20:13.480295928Z,1525,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:30:12.840376349Z,1615,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:40:13.182356243Z,1770,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T13:50:13.523877451Z,1980,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T14:00:12.816846335Z,2075,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T14:10:13.100614769Z,2170,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T14:20:13.461479554Z,2375,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T14:30:12.841961591Z,2615,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T14:40:13.205926746Z,2850,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T23:30:13.179595142Z,2385,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T23:40:13.489925981Z,2235,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-01T23:50:12.823414674Z,2035,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:00:13.170246173Z,1795,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:10:13.486854638Z,1555,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:20:12.808640192Z,1400,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:30:13.103198183Z,1235,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:40:13.424573048Z,1070,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T00:50:12.752704118Z,905,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:00:13.110854051Z,795,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:10:13.419134344Z,785,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:20:12.734085042Z,810,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:30:13.064032222Z,830,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:40:13.652144462Z,860,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T01:50:12.895514265Z,950,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:00:13.302748446Z,1115,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:10:12.620256085Z,1250,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:20:12.932512532Z,1350,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:30:13.343816932Z,1515,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:40:12.670387989Z,1760,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T02:50:12.978647202Z,1985,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:00:13.296891866Z,2175,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:10:12.640711766Z,2435,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:20:13.010925713Z,2635,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:30:13.655667974Z,2830,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:40:12.990107581Z,3010,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T03:50:13.27074105Z,3200,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:00:14.105410925Z,1620,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:10:13.510588368Z,1505,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:20:12.88612385Z,1410,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:30:13.378159393Z,1260,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:40:12.710701309Z,1085,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T12:50:13.07068516Z,900,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:00:13.353460086Z,770,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:10:12.651248371Z,725,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:20:13.020270639Z,665,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:30:13.340828209Z,650,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:40:12.653806559Z,720,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T13:50:12.985882356Z,825,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T14:00:13.295252394Z,970,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T14:10:12.669595791Z,1055,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T14:20:13.147212067Z,1155,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-10-02T14:30:13.707244518Z,1330,personal/ucjtdjw/housemill/sonar/distance
