#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2024-09-01T00:00:12.783857942Z,1580,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T00:10:13.826775327Z,1500,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T00:20:13.185756345Z,1430,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T00:30:13.493439206Z,1405,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T00:40:12.712593914Z,1440,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T00:50:12.906615374Z,1485,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:00:13.217042989Z,1560,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:10:13.555365195Z,1690,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:20:12.89227413Z,1825,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:30:13.510088685Z,2010,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:40:12.836579957Z,2200,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T01:50:13.213144329Z,2400,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:00:13.352821491Z,2610,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:10:12.568322778Z,2760,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:20:12.849978653Z,2960,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:30:13.0934248Z,3160,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:40:13.337551125Z,3380,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T02:50:12.705766523Z,3570,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:00:12.830192209Z,3740,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:10:13.253366679Z,3900,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:20:13.570317787Z,4055,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:30:12.675829005Z,4215,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:40:12.8787994Z,4425,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T03:50:13.221160733Z,4470,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:00:13.415080753Z,4425,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:10:12.792710057Z,4390,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:20:13.018035319Z,4425,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:30:13.214019582Z,4425,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:40:13.520326942Z,4455,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T04:50:12.878702312Z,4400,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:00:13.034786965Z,4440,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:10:13.340615809Z,4410,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:20:12.519334762Z,4585,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:30:12.856909206Z,4415,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:40:13.061082713Z,4445,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T05:50:13.3858982Z,4435,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:00:12.622602124Z,4435,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:10:12.688995695Z,4430,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:20:13.296713244Z,4420,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:30:13.531877087Z,4360,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:40:12.767577653Z,4490,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T06:50:13.078112429Z,4485,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T07:00:13.359547491Z,4435,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T07:10:12.697158317Z,4475,personal/ucjtdjw/housemill/sonar/distance
,,0,2024-09-01T07:20:13.104823367Z,4475,personal/ucjtdjw/housemill/sonar/distance
